사진의 주소 URL,상품 이름,가격,상세 스펙 텍스트,상세 페이지,리뷰 개수,별의 개수
/images/test-sites/e-commerce/items/cart2.png,Nokia 123,$24.99,7 day battery,/test-sites/e-commerce/static/product/1,11,3
/images/test-sites/e-commerce/items/cart2.png,LG Optimus,$57.99,"3.2"" screen",/test-sites/e-commerce/static/product/2,11,3
/images/test-sites/e-commerce/items/cart2.png,Samsung Galaxy,$93.99,5 mpx. Android 5.0,/test-sites/e-commerce/static/product/3,3,3
/images/test-sites/e-commerce/items/cart2.png,Nokia X,$109.99,"Andoid, Jolla dualboot",/test-sites/e-commerce/static/product/4,4,4
/images/test-sites/e-commerce/items/cart2.png,Sony Xperia,$118.99,"GPS, waterproof",/test-sites/e-commerce/static/product/5,6,1
/images/test-sites/e-commerce/items/cart2.png,Ubuntu Edge,$499.99,Sapphire glass,/test-sites/e-commerce/static/product/6,2,1
/images/test-sites/e-commerce/items/cart2.png,Nokia 123,$24.99,7 day battery,/test-sites/e-commerce/static/product/1,11,3
/images/test-sites/e-commerce/items/cart2.png,LG Optimus,$57.99,"3.2"" screen",/test-sites/e-commerce/static/product/2,11,3
/images/test-sites/e-commerce/items/cart2.png,Samsung Galaxy,$93.99,5 mpx. Android 5.0,/test-sites/e-commerce/static/product/3,3,3
/images/test-sites/e-commerce/items/cart2.png,Nokia X,$109.99,"Andoid, Jolla dualboot",/test-sites/e-commerce/static/product/4,4,4
/images/test-sites/e-commerce/items/cart2.png,Sony Xperia,$118.99,"GPS, waterproof",/test-sites/e-commerce/static/product/5,6,1
/images/test-sites/e-commerce/items/cart2.png,Ubuntu Edge,$499.99,Sapphire glass,/test-sites/e-commerce/static/product/6,2,1
